,location,lat,lon
248,"Jayanagar, Bangalore",12.9292731,77.5824229
249,"Banashankari, Bangalore",12.9152186,77.5736205
250,"Basavanagudi, Bangalore",12.9417261,77.5755021
251,"Jayanagar, Bangalore",12.9292731,77.5824229
252,"Basavanagudi, Bangalore",12.9417261,77.5755021
253,"Banashankari, Bangalore",12.9152186,77.5736205
254,"Jayanagar, Bangalore",12.9292731,77.5824229
255,"Jayanagar, Bangalore",12.9292731,77.5824229
256,"Jayanagar, Bangalore",12.9292731,77.5824229
257,"Banashankari, Bangalore",12.9152186,77.5736205
258,"Banashankari, Bangalore",12.9152186,77.5736205
259,"Banashankari, Bangalore",12.9152186,77.5736205
260,"Jayanagar, Bangalore",12.9292731,77.5824229
261,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
262,"Jayanagar, Bangalore",12.9292731,77.5824229
263,"Banashankari, Bangalore",12.9152186,77.5736205
264,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
265,"Banashankari, Bangalore",12.9152186,77.5736205
266,"Basavanagudi, Bangalore",12.9417261,77.5755021
267,"Basavanagudi, Bangalore",12.9417261,77.5755021
268,"Jayanagar, Bangalore",12.9292731,77.5824229
269,"Basavanagudi, Bangalore",12.9417261,77.5755021
270,"Basavanagudi, Bangalore",12.9417261,77.5755021
271,"Basavanagudi, Bangalore",12.9417261,77.5755021
272,"Jayanagar, Bangalore",12.9292731,77.5824229
273,"Jayanagar, Bangalore",12.9292731,77.5824229
274,"Basavanagudi, Bangalore",12.9417261,77.5755021
275,"Banashankari, Bangalore",12.9152186,77.5736205
276,"Basavanagudi, Bangalore",12.9417261,77.5755021
277,"Jayanagar, Bangalore",12.9292731,77.5824229
278,"Jayanagar, Bangalore",12.9292731,77.5824229
279,"Banashankari, Bangalore",12.9152186,77.5736205
280,"Jayanagar, Bangalore",12.9292731,77.5824229
281,"Banashankari, Bangalore",12.9152186,77.5736205
282,"Basavanagudi, Bangalore",12.9417261,77.5755021
283,"Banashankari, Bangalore",12.9152186,77.5736205
284,"Banashankari, Bangalore",12.9152186,77.5736205
285,"Banashankari, Bangalore",12.9152186,77.5736205
286,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
287,"Basavanagudi, Bangalore",12.9417261,77.5755021
288,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
289,"Banashankari, Bangalore",12.9152186,77.5736205
290,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
291,"Banashankari, Bangalore",12.9152186,77.5736205
292,"Banashankari, Bangalore",12.9152186,77.5736205
293,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
294,"Banashankari, Bangalore",12.9152186,77.5736205
295,"Jayanagar, Bangalore",12.9292731,77.5824229
296,"Banashankari, Bangalore",12.9152186,77.5736205
297,"Jayanagar, Bangalore",12.9292731,77.5824229
298,"Banashankari, Bangalore",12.9152186,77.5736205
299,"Jayanagar, Bangalore",12.9292731,77.5824229
300,"Basavanagudi, Bangalore",12.9417261,77.5755021
301,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
302,"Banashankari, Bangalore",12.9152186,77.5736205
303,"Jayanagar, Bangalore",12.9292731,77.5824229
304,"Jayanagar, Bangalore",12.9292731,77.5824229
305,"Banashankari, Bangalore",12.9152186,77.5736205
306,"Banashankari, Bangalore",12.9152186,77.5736205
307,"Banashankari, Bangalore",12.9152186,77.5736205
308,"Basavanagudi, Bangalore",12.9417261,77.5755021
309,"Jayanagar, Bangalore",12.9292731,77.5824229
310,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
311,"Banashankari, Bangalore",12.9152186,77.5736205
312,"Jayanagar, Bangalore",12.9292731,77.5824229
313,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
314,"Jayanagar, Bangalore",12.9292731,77.5824229
315,"Jayanagar, Bangalore",12.9292731,77.5824229
316,"Banashankari, Bangalore",12.9152186,77.5736205
317,"Basavanagudi, Bangalore",12.9417261,77.5755021
318,"Jayanagar, Bangalore",12.9292731,77.5824229
319,"Jayanagar, Bangalore",12.9292731,77.5824229
320,"Basavanagudi, Bangalore",12.9417261,77.5755021
321,"Basavanagudi, Bangalore",12.9417261,77.5755021
322,"Basavanagudi, Bangalore",12.9417261,77.5755021
323,"Basavanagudi, Bangalore",12.9417261,77.5755021
324,"Basavanagudi, Bangalore",12.9417261,77.5755021
325,"Banashankari, Bangalore",12.9152186,77.5736205
326,"Basavanagudi, Bangalore",12.9417261,77.5755021
327,"Basavanagudi, Bangalore",12.9417261,77.5755021
328,"Banashankari, Bangalore",12.9152186,77.5736205
329,"Banashankari, Bangalore",12.9152186,77.5736205
330,"Basavanagudi, Bangalore",12.9417261,77.5755021
331,"Banashankari, Bangalore",12.9152186,77.5736205
332,"Banashankari, Bangalore",12.9152186,77.5736205
333,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
334,"Jayanagar, Bangalore",12.9292731,77.5824229
335,"Basavanagudi, Bangalore",12.9417261,77.5755021
336,"Banashankari, Bangalore",12.9152186,77.5736205
337,"Jayanagar, Bangalore",12.9292731,77.5824229
338,"Jayanagar, Bangalore",12.9292731,77.5824229
339,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
340,"Banashankari, Bangalore",12.9152186,77.5736205
341,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
342,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
343,"Banashankari, Bangalore",12.9152186,77.5736205
344,"Banashankari, Bangalore",12.9152186,77.5736205
345,"Banashankari, Bangalore",12.9152186,77.5736205
346,"Basavanagudi, Bangalore",12.9417261,77.5755021
347,"Banashankari, Bangalore",12.9152186,77.5736205
348,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
349,"Jayanagar, Bangalore",12.9292731,77.5824229
350,"Basavanagudi, Bangalore",12.9417261,77.5755021
351,"Banashankari, Bangalore",12.9152186,77.5736205
352,"Basavanagudi, Bangalore",12.9417261,77.5755021
353,"Jayanagar, Bangalore",12.9292731,77.5824229
354,"Basavanagudi, Bangalore",12.9417261,77.5755021
355,"Banashankari, Bangalore",12.9152186,77.5736205
356,"Basavanagudi, Bangalore",12.9417261,77.5755021
357,"Basavanagudi, Bangalore",12.9417261,77.5755021
358,"Banashankari, Bangalore",12.9152186,77.5736205
359,"Banashankari, Bangalore",12.9152186,77.5736205
360,"Basavanagudi, Bangalore",12.9417261,77.5755021
361,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
362,"Basavanagudi, Bangalore",12.9417261,77.5755021
363,"Basavanagudi, Bangalore",12.9417261,77.5755021
364,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
365,"Basavanagudi, Bangalore",12.9417261,77.5755021
366,"Basavanagudi, Bangalore",12.9417261,77.5755021
367,"Jayanagar, Bangalore",12.9292731,77.5824229
368,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
369,"Jayanagar, Bangalore",12.9292731,77.5824229
370,"Banashankari, Bangalore",12.9152186,77.5736205
371,"Banashankari, Bangalore",12.9152186,77.5736205
372,"Jayanagar, Bangalore",12.9292731,77.5824229
373,"Jayanagar, Bangalore",12.9292731,77.5824229
374,"Jayanagar, Bangalore",12.9292731,77.5824229
375,"Basavanagudi, Bangalore",12.9417261,77.5755021
376,"Jayanagar, Bangalore",12.9292731,77.5824229
377,"Jayanagar, Bangalore",12.9292731,77.5824229
378,"Jayanagar, Bangalore",12.9292731,77.5824229
379,"Basavanagudi, Bangalore",12.9417261,77.5755021
380,"Jayanagar, Bangalore",12.9292731,77.5824229
381,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
382,"Banashankari, Bangalore",12.9152186,77.5736205
383,"Basavanagudi, Bangalore",12.9417261,77.5755021
384,"Jayanagar, Bangalore",12.9292731,77.5824229
385,"Banashankari, Bangalore",12.9152186,77.5736205
386,"Banashankari, Bangalore",12.9152186,77.5736205
387,"Basavanagudi, Bangalore",12.9417261,77.5755021
388,"Jayanagar, Bangalore",12.9292731,77.5824229
389,"Basavanagudi, Bangalore",12.9417261,77.5755021
390,"Jayanagar, Bangalore",12.9292731,77.5824229
391,"Basavanagudi, Bangalore",12.9417261,77.5755021
392,"Banashankari, Bangalore",12.9152186,77.5736205
393,"Jayanagar, Bangalore",12.9292731,77.5824229
394,"Banashankari, Bangalore",12.9152186,77.5736205
395,"Basavanagudi, Bangalore",12.9417261,77.5755021
396,"Banashankari, Bangalore",12.9152186,77.5736205
397,"Banashankari, Bangalore",12.9152186,77.5736205
398,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
399,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
400,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
401,"Jayanagar, Bangalore",12.9292731,77.5824229
402,"Basavanagudi, Bangalore",12.9417261,77.5755021
403,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
404,"Basavanagudi, Bangalore",12.9417261,77.5755021
405,"Banashankari, Bangalore",12.9152186,77.5736205
406,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
407,"Banashankari, Bangalore",12.9152186,77.5736205
408,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
409,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
410,"Banashankari, Bangalore",12.9152186,77.5736205
411,"JP Nagar, Bangalore",12.9120761,77.57939318031076
412,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
413,"Jayanagar, Bangalore",12.9292731,77.5824229
414,"Jayanagar, Bangalore",12.9292731,77.5824229
415,"Jayanagar, Bangalore",12.9292731,77.5824229
416,"Jayanagar, Bangalore",12.9292731,77.5824229
417,"Basavanagudi, Bangalore",12.9417261,77.5755021
418,"Banashankari, Bangalore",12.9152186,77.5736205
419,"Basavanagudi, Bangalore",12.9417261,77.5755021
420,"Basavanagudi, Bangalore",12.9417261,77.5755021
421,"Banashankari, Bangalore",12.9152186,77.5736205
422,"Basavanagudi, Bangalore",12.9417261,77.5755021
423,"Banashankari, Bangalore",12.9152186,77.5736205
424,"Banashankari, Bangalore",12.9152186,77.5736205
425,"Basavanagudi, Bangalore",12.9417261,77.5755021
426,"Banashankari, Bangalore",12.9152186,77.5736205
427,"Jayanagar, Bangalore",12.9292731,77.5824229
428,"Basavanagudi, Bangalore",12.9417261,77.5755021
429,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
430,"Banashankari, Bangalore",12.9152186,77.5736205
431,"Basavanagudi, Bangalore",12.9417261,77.5755021
432,"Basavanagudi, Bangalore",12.9417261,77.5755021
433,"Banashankari, Bangalore",12.9152186,77.5736205
434,"Jayanagar, Bangalore",12.9292731,77.5824229
435,"Banashankari, Bangalore",12.9152186,77.5736205
436,"Jayanagar, Bangalore",12.9292731,77.5824229
437,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
438,"Jayanagar, Bangalore",12.9292731,77.5824229
439,"Basavanagudi, Bangalore",12.9417261,77.5755021
440,"Jayanagar, Bangalore",12.9292731,77.5824229
441,"Jayanagar, Bangalore",12.9292731,77.5824229
442,"Basavanagudi, Bangalore",12.9417261,77.5755021
443,"Banashankari, Bangalore",12.9152186,77.5736205
444,"Jayanagar, Bangalore",12.9292731,77.5824229
445,"Jayanagar, Bangalore",12.9292731,77.5824229
446,"Banashankari, Bangalore",12.9152186,77.5736205
447,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
448,"Banashankari, Bangalore",12.9152186,77.5736205
449,"Banashankari, Bangalore",12.9152186,77.5736205
450,"Jayanagar, Bangalore",12.9292731,77.5824229
451,"Jayanagar, Bangalore",12.9292731,77.5824229
452,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
453,"Basavanagudi, Bangalore",12.9417261,77.5755021
454,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
455,"Banashankari, Bangalore",12.9152186,77.5736205
456,"Banashankari, Bangalore",12.9152186,77.5736205
457,"Banashankari, Bangalore",12.9152186,77.5736205
458,"Basavanagudi, Bangalore",12.9417261,77.5755021
459,"Banashankari, Bangalore",12.9152186,77.5736205
460,"Basavanagudi, Bangalore",12.9417261,77.5755021
461,"Banashankari, Bangalore",12.9152186,77.5736205
462,"Basavanagudi, Bangalore",12.9417261,77.5755021
463,"Banashankari, Bangalore",12.9152186,77.5736205
464,"Banashankari, Bangalore",12.9152186,77.5736205
465,"Banashankari, Bangalore",12.9152186,77.5736205
466,"Banashankari, Bangalore",12.9152186,77.5736205
467,"Banashankari, Bangalore",12.9152186,77.5736205
468,"Banashankari, Bangalore",12.9152186,77.5736205
469,"Banashankari, Bangalore",12.9152186,77.5736205
470,"Banashankari, Bangalore",12.9152186,77.5736205
471,"Banashankari, Bangalore",12.9152186,77.5736205
472,"Banashankari, Bangalore",12.9152186,77.5736205
473,"Banashankari, Bangalore",12.9152186,77.5736205
474,"Banashankari, Bangalore",12.9152186,77.5736205
475,"Banashankari, Bangalore",12.9152186,77.5736205
476,"Banashankari, Bangalore",12.9152186,77.5736205
477,"Banashankari, Bangalore",12.9152186,77.5736205
478,"Banashankari, Bangalore",12.9152186,77.5736205
479,"Banashankari, Bangalore",12.9152186,77.5736205
480,"Banashankari, Bangalore",12.9152186,77.5736205
481,"Banashankari, Bangalore",12.9152186,77.5736205
482,"Banashankari, Bangalore",12.9152186,77.5736205
483,"Banashankari, Bangalore",12.9152186,77.5736205
484,"Banashankari, Bangalore",12.9152186,77.5736205
485,"Banashankari, Bangalore",12.9152186,77.5736205
486,"Banashankari, Bangalore",12.9152186,77.5736205
487,"Banashankari, Bangalore",12.9152186,77.5736205
488,"Banashankari, Bangalore",12.9152186,77.5736205
489,"Banashankari, Bangalore",12.9152186,77.5736205
490,"Banashankari, Bangalore",12.9152186,77.5736205
491,"Banashankari, Bangalore",12.9152186,77.5736205
492,"Banashankari, Bangalore",12.9152186,77.5736205
493,"Banashankari, Bangalore",12.9152186,77.5736205
