name,rate,location,cuisines,cost_for_two,type
Roll N Rock,3.8,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400,Delivery
BOX8- Desi Meals,4.1,Banashankari,"North Indian, Mughlai, Fast Food",500,Delivery
KFC,3.8,Banashankari,"Burger, Fast Food",450,Delivery
Bitez,3.7,Banashankari,Fast Food,100,Delivery
Roll Over,4.1,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
Lassi Shop,3.9,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150,Delivery
The Fortuna,3,Kumaraswamy Layout,"North Indian, Chinese",250,Delivery
Wahab,3.7,Jayanagar,"North Indian, Mughlai, Chinese",350,Delivery
Al Diwan Biryanis And More,3.3,Basavanagudi,Biryani,300,Delivery
New Gowda's Fried Chicken,3.3,Banashankari,Biryani,300,Delivery
Canton,3.6,Jayanagar,"Chinese, Seafood, Biryani",800,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,3.3,Basavanagudi,"Desserts, Mithai",300,Delivery
The Blue Wagon - Kitchen,4.6,Jayanagar,"Cafe, Beverages",400,Delivery
HOT COFFEE,4.1,Basavanagudi,"South Indian, Chinese",150,Delivery
Patio 805,4.1,Jayanagar,"Thai, Vietnamese, Asian, Chinese",1200,Delivery
Lassi Corner,3.7,Basavanagudi,"Beverages, Ice Cream",150,Delivery
Sagar Deluxe,3.2,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",300,Delivery
Kanti Sweets,4,Banashankari,"Mithai, Street Food",400,Delivery
Vegetalia,3.7,Banashankari,"Italian, Pizza",400,Delivery
Aramane Donne Biryani,3.5,Banashankari,Biryani,200,Delivery
Ande Ka Funda,3.8,Banashankari,"North Indian, Fast Food, Rolls",250,Delivery
Cake Ghar,3.8,Basavanagudi,Bakery,400,Delivery
Energy Addaa,4.2,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery
Bhattara Bhojana,3.6,Banashankari,South Indian,150,Delivery
Tandoori Knight,3,Banashankari,"North Indian, Chinese, Biryani, Kebab",450,Delivery
Dev Sagar - Food Street,4.1,Basavanagudi,Street Food,200,Delivery
Mitraa Da Pizza,3.8,Kumaraswamy Layout,"Fast Food, Pizza",250,Delivery
Paradise Premium,3.1,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery
Grazers,3.9,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery
Shakes Theory,4.5,Jayanagar,"Beverages, Sandwich",300,Delivery
@Italy,4.1,Kumaraswamy Layout,Italian,700,Delivery
Chilli Flakes,3.6,Banashankari,"Fast Food, Italian, Beverages",500,Delivery
Calcutta Cafe,3.5,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",350,Delivery
Old Mumbai Ice Cream,3.9,Banashankari,Ice Cream,150,Delivery
Donne Biriyani House,3.9,Banashankari,"South Indian, North Indian, Chinese, Biryani",400,Delivery
By 2 Coffee,3.9,Basavanagudi,South Indian,100,Delivery
Kedia's Fun Food,4.3,Jayanagar,"North Indian, Street Food, Juices",200,Delivery
Davangere Butter Dosa Hotel,3.8,Kumaraswamy Layout,South Indian,150,Delivery
Just Shawarma,3.9,Kumaraswamy Layout,Arabian,300,Delivery
