name,rate,location,cuisines,cost_for_two
"Cafe Down The Alley,Banashankari",4.1,Banashankari,"Cafe, Delivery, Dine-out",500
"Gokul Veg,Basavanagudi",3.8,Basavanagudi,"North Indian, Chinese, Beverages, Delivery, Dine-out",750
"Olive - Era,Kumaraswamy Layout",3.3,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts, Delivery, Delivery",550
"Udupi Ruchi,Banashankari",3.9,Banashankari,"South Indian, North Indian, Chinese, Street Food, Delivery, Dine-out",200
"Madhappa Hindu Military Hotel,Banashankari",3.4,Banashankari,"South Indian, Delivery, Dine-out",300
"Gama Gama,Banashankari",3.9,Banashankari,"South Indian, Delivery, Dine-out",200
"Pizza Hut,Banashankari",3.8,Banashankari,"Pizza, Fast Food, Delivery, Dine-out",750
"Mangalore Pearl,Jayanagar",3.8,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani, Delivery, Dine-out",650
"Asha Sweets Centre,Basavanagudi",3.6,Basavanagudi,"Fast Food, Delivery, Desserts, Delivery",250
"Twiststick House,Basavanagudi",4.1,Basavanagudi,"Continental, Fast Food, Street Food, Momos, Delivery, Dine-out",500
"Cool Corner,Basavanagudi",4.2,Basavanagudi,"Street Food, Fast Food, Delivery, Dine-out",250
"Pizza Mane,Banashankari",3.5,Banashankari,"Pizza, Sandwich, Burger, Fast Food, Delivery",150
"Chutney Chang,Jayanagar",4.1,Jayanagar,"North Indian, Chinese, BBQ, Delivery, Buffet, Dine-out",1500
"Mystique Palate,Jayanagar",4.1,Jayanagar,"Chinese, Fast Food, Delivery, Dine-out, Dine-out",300
"Thamboola,Banashankari",3.9,Banashankari,"North Indian, Chinese, Continental, Delivery, Dine-out, Delivery",800
"Vietnamese Kitchen,Banashankari",3.6,Banashankari,"Vietnamese, Delivery, Dine-out",700
"C Corner,Kumaraswamy Layout",3.2,Kumaraswamy Layout,"Fast Food, Street Food, Delivery",200
"Paratha Merchant,Kumaraswamy Layout",3.1,Kumaraswamy Layout,"North Indian, Delivery, Dine-out",300
"North Rasoe,Kumaraswamy Layout",3.1,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab, Delivery, Delivery, Dine-out",500
"Inchara Restaurant,Basavanagudi",3.7,Basavanagudi,"North Indian, Chinese, Delivery, Dine-out, Dine-out",300
"Toscano,Jayanagar",4.3,Jayanagar,"Italian, Salad, Delivery, Dine-out, Dine-out",1300
"Lord Of The Kitchen,Kumaraswamy Layout",3.9,Kumaraswamy Layout,"North Indian, Chinese, Delivery",350
"Stoned Monkey,Banashankari",4.3,Banashankari,"Desserts, Ice Cream, Delivery, Desserts",500
"Central Jail Restaurant,Jayanagar",3.8,Jayanagar,"Andhra, Seafood, North Indian, Chinese, Delivery, Dine-out, Delivery",700
"Bella,Jayanagar",3.9,Jayanagar,"Mangalorean, Seafood, South Indian, Delivery, Dine-out, Dine-out",1000
"Vennela Andhra Meals,Jayanagar",3.0,Jayanagar,"Andhra, Delivery, Dine-out",400
"New Prashanth Hotel,Jayanagar",3.6,Jayanagar,"South Indian, Biryani, Chinese, North Indian, Delivery, Dine-out",750
"The Grillo,Jayanagar",2.8,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean, Delivery, Dine-out, Delivery, Dine-out",500
"Re Malnad Nati Style Hotel,JP Nagar",3.6,JP Nagar,"South Indian, Delivery, Dine-out",400
"Karma Kaapi,Jayanagar",4.4,Jayanagar,"Beverages, Tea, Delivery, Dine-out, Dine-out",250
"Tiwari's,Jayanagar",3.8,Jayanagar,"North Indian, Street Food, Delivery",200
"Pizza Stop,Basavanagudi",3.8,Basavanagudi,"Pizza, Italian, Delivery, Dine-out",600
"Biggies Burger 'n' More,Kumaraswamy Layout",3.6,Kumaraswamy Layout,"Cafe, Burger, Beverages, Delivery",650
